"","userID","game","status","hours","X"
"1",151603712,"The Elder Scrolls V Skyrim","play",273,0
"2",151603712,"Fallout 4","play",87,0
"3",151603712,"Fallout New Vegas","play",12.1,0
"4",151603712,"Left 4 Dead 2","play",8.9,0
"5",151603712,"Path of Exile","play",8.1,0
"6",151603712,"Left 4 Dead","play",3.3,0
"7",151603712,"Team Fortress 2","play",2.8,0
"8",151603712,"BioShock Infinite","play",1.3,0
"9",151603712,"Grand Theft Auto IV","play",0.6,0
"10",151603712,"Dota 2","play",0.5,0
"11",151603712,"Robocraft","play",0.4,0
"12",151603712,"Garry's Mod","play",0.1,0
"13",187131847,"Dota 2","play",2.3,0
"14",59945701,"The Elder Scrolls V Skyrim","play",58,0
"15",59945701,"Sid Meier's Civilization V","play",22,0
"16",59945701,"7 Days to Die","play",7.8,0
"17",59945701,"Killing Floor","play",3.4,0
"18",59945701,"Counter-Strike Global Offensive","play",2.3,0
"19",59945701,"Team Fortress 2","play",0.1,0
"20",53875128,"Grand Theft Auto V","play",86,0
"21",53875128,"Left 4 Dead 2","play",71,0
"22",53875128,"METAL GEAR SOLID V THE PHANTOM PAIN","play",59,0
"23",53875128,"Saints Row The Third","play",35,0
"24",53875128,"Far Cry 3","play",35,0
"25",53875128,"Rocket League","play",34,0
"26",53875128,"Just Cause 2","play",23,0
"27",53875128,"Portal 2","play",21,0
"28",53875128,"Deus Ex Human Revolution","play",21,0
"29",53875128,"DayZ","play",11,0
"30",53875128,"Half-Life 2","play",10.2,0
"31",53875128,"Age of Empires II HD Edition","play",9,0
"32",53875128,"Fallout New Vegas","play",7.5,0
"33",53875128,"Sid Meier's Civilization V","play",5.9,0
"34",53875128,"The Binding of Isaac","play",2.4,0
"35",53875128,"Arma 2 Operation Arrowhead","play",1.8,0
"36",53875128,"Left 4 Dead","play",1.7,0
"37",53875128,"Grand Theft Auto IV","play",1.5,0
"38",53875128,"Borderlands 2","play",0.8,0
"39",53875128,"Dark Souls Prepare to Die Edition","play",0.5,0
"40",140954425,"Team Fortress 2","play",13,0
"41",26122540,"Call of Duty Modern Warfare 2 - Multiplayer","play",92,0
"42",26122540,"Call of Duty Modern Warfare 2","play",47,0
"43",26122540,"Call of Duty Black Ops - Multiplayer","play",22,0
"44",26122540,"Counter-Strike Source","play",10.3,0
"45",26122540,"Dungeon Defenders","play",6.8,0
"46",26122540,"Call of Duty Black Ops","play",3.1,0
"47",26122540,"Day of Defeat Source","play",1.1,0
"48",176410694,"Dota 2","play",9.1,0
"49",197278511,"Dota 2","play",0.5,0
"50",150128162,"Team Fortress 2","play",42,0
"51",197455089,"Dota 2","play",3.4,0
"52",63024728,"Empire Total War","play",42,0
"53",297811211,"ARK Survival Evolved","play",29,0
"54",297811211,"Team Fortress 2","play",10.1,0
"55",297811211,"Unturned","play",5.6,0
"56",218323237,"Dota 2","play",14.8,0
"57",302186258,"Dota 2","play",4.2,0
"58",126340495,"Dota 2","play",1784,0
"59",126340495,"Counter-Strike Global Offensive","play",626,0
"60",126340495,"Counter-Strike Source","play",176,0
"61",126340495,"Rust","play",69,0
"62",126340495,"Team Fortress 2","play",16.1,0
"63",126340495,"Garry's Mod","play",10.2,0
"64",126340495,"Robocraft","play",2.3,0
"65",126340495,"Far Cry 3","play",2.2,0
"66",126340495,"War Thunder","play",0.4,0
"67",194895541,"Dota 2","play",1.1,0
"68",170625356,"Dota 2","play",7.4,0
"69",167362888,"Dota 2","play",135,0
"70",208649703,"Counter-Strike Global Offensive","play",125,0
"71",225987202,"Dota 2","play",3.8,0
"72",195071563,"Dota 2","play",6.2,0
"73",254906420,"Team Fortress 2","play",1.2,0
"74",247160953,"Dota 2","play",1.9,0
"75",308653033,"Unturned","play",0.6,0
"76",144138643,"Dota 2","play",5.2,0
"77",97298878,"Team Fortress 2","play",9,0
"78",97298878,"Dota 2","play",8.6,0
"79",173909336,"Tom Clancy's Ghost Recon Phantoms - NA","play",17.2,0
"80",173909336,"APB Reloaded","play",5.9,0
"81",198572546,"Dota 2","play",12.7,0
"82",219509107,"Dota 2","play",2.1,0
"83",202906503,"Dota 2","play",10.4,0
"84",92107940,"The Elder Scrolls V Skyrim","play",110,0
"85",92107940,"7 Days to Die","play",99,0
"86",92107940,"Garry's Mod","play",40,0
"87",251431515,"Dota 2","play",0.9,0
"88",99189757,"Team Fortress 2","play",1085,0
"89",30695285,"Counter-Strike Condition Zero","play",36,0
"90",30695285,"Counter-Strike","play",0.2,0
"91",201069271,"Dota 2","play",4.8,0
"92",48845802,"Counter-Strike","play",211,0
"93",48845802,"Mount & Blade Warband","play",78,0
"94",48845802,"Counter-Strike Condition Zero","play",60,0
"95",48845802,"Call of Duty Black Ops","play",11.3,0
"96",48845802,"Call of Duty Black Ops - Multiplayer","play",10,0
"97",48845802,"Left 4 Dead","play",1.1,0
"98",226212066,"Counter-Strike Global Offensive","play",94,0
"99",226212066,"Unturned","play",15,0
"100",226212066,"Garry's Mod","play",10.8,0
"101",226212066,"PAYDAY 2","play",6.7,0
"102",226212066,"Team Fortress 2","play",3.6,0
"103",226212066,"AdVenture Capitalist","play",2.1,0
"104",221430493,"Dota 2","play",5.3,0
"105",62923086,"Counter-Strike","play",91,0
"106",250006052,"The Elder Scrolls V Skyrim","play",465,0
"107",65117175,"Portal 2","play",11.3,0
"108",65117175,"Torchlight II","play",3.6,0
"109",65117175,"Team Fortress 2","play",1.3,0
"110",65117175,"Killing Floor","play",0.9,0
"111",227944885,"Dota 2","play",62,0
"112",144004384,"Dota 2","play",22,0
"113",236557903,"Team Fortress 2","play",2,0
"114",11373749,"Team Fortress 2","play",762,0
"115",11373749,"Rocket League","play",348,0
"116",11373749,"Left 4 Dead 2","play",270,0
"117",11373749,"The Elder Scrolls V Skyrim","play",220,0
"118",11373749,"Terraria","play",84,0
"119",11373749,"Grand Theft Auto V","play",61,0
"120",11373749,"Left 4 Dead","play",44,0
"121",11373749,"Saints Row The Third","play",44,0
"122",11373749,"Portal 2","play",22,0
"123",11373749,"Call of Duty Black Ops - Multiplayer","play",21,0
"124",11373749,"Chivalry Medieval Warfare","play",19.9,0
"125",11373749,"Half-Life 2","play",18.1,0
"126",11373749,"Just Cause 2","play",12.7,0
"127",11373749,"Call of Duty Modern Warfare 2","play",11,0
"128",11373749,"Call of Duty Modern Warfare 2 - Multiplayer","play",7.7,0
"129",11373749,"Call of Duty Black Ops","play",7.5,0
"130",11373749,"Counter-Strike Global Offensive","play",5.5,0
"131",11373749,"Torchlight II","play",4.2,0
"132",11373749,"Dungeon Defenders","play",2.3,0
"133",11373749,"Dota 2","play",2.2,0
"134",11373749,"Garry's Mod","play",1.3,0
"135",11373749,"Dark Souls Prepare to Die Edition","play",0.9,0
"136",11373749,"Unturned","play",0.8,0
"137",11373749,"Counter-Strike Source","play",0.4,0
"138",11373749,"Fallout New Vegas","play",0.3,0
"139",140293612,"Dota 2","play",278,0
"140",187851224,"Dota 2","play",240,0
"141",192921532,"Dota 2","play",6.9,0
"142",192921532,"Unturned","play",1.2,0
